err_protocol,err_topic,con_freq,pub_freq,REP,RAO,RC,RP
0.000000,0.000000,0.000000,0.000000,1,1,1,1
0.000000,0.000000,0.090909,0.000000,1,1,1,1
0.000000,0.000000,6.000000,0.000000,1,1,30.0,1
0.000000,0.000000,11.000000,0.000000,1,1,55.0,1
0.000000,0.000000,11.000000,0.000000,1,1,55.0,1
0.000000,0.000000,13.909091,0.000000,1,1,69.545455,1
0.000000,0.000000,13.545455,0.000000,1,1,67.727275,1
0.000000,0.000000,17.090909,0.000000,1,1,85.454545,1
0.000000,0.000000,15.454545,0.000000,1,1,77.272725,1
0.000000,0.000000,20.363636,0.000000,1,1,101.81818,1
0.000000,0.000000,24.727273,0.000000,1,1,123.636365,1
0.000000,0.000000,18.363636,0.000000,1,1,91.81818,1
0.000000,0.000000,21.818182,0.000000,1,1,109.09091,1
0.000000,0.000000,19.090909,0.000000,1,1,95.454545,1
0.000000,0.000000,22.090909,0.000000,1,1,110.454545,1
0.000000,0.000000,23.636364,0.000000,1,1,118.18182,1
0.000000,0.000000,27.363636,0.000000,1,1,136.81818,1
0.000000,0.000000,23.909091,0.000000,1,1,119.545455,1
0.000000,0.000000,28.636364,0.000000,1,1,143.18182,1
0.000000,0.000000,22.090909,0.000000,1,1,110.454545,1
0.000000,0.000000,26.181818,0.000000,1,1,130.90909,1
0.000000,0.000000,28.727273,0.000000,1,1,143.636365,1
0.000000,0.000000,35.363636,0.000000,1,1,176.81818,1
0.000000,0.000000,30.454545,0.000000,1,1,152.272725,1
0.000000,0.000000,39.272727,0.000000,1,1,196.363635,1
0.000000,0.000000,33.545455,0.000000,1,1,167.727275,1
0.000000,0.000000,26.272727,0.000000,1,1,131.363635,1
0.000000,0.000000,30.636364,0.000000,1,1,153.18182,1
0.000000,0.000000,27.272727,0.000000,1,1,136.363635,1
0.000000,0.000000,12.454545,0.000000,1,1,62.272725,1
0.000000,0.000000,0.000000,0.000000,1,1,1,1
